title,year,venue,type,cited_by_count,co_authors
Carafe2 enables high quality <i>in silico</i> spectral library generation for timsTOF data-independent acquisition proteomics,2026,bioRxiv (Cold Spring Harbor Laboratory),preprint,2,Bo Wen; J. Sebastian Paez; Chris Hsu; Daniele Canzani; Alexis Taylor Chang; Nicholas Shulman; Brendan MacLean; Matthew D. Berg; Judit Villén; William E. Fondrie; Lindsay K. Pino; Michael J. MacCoss; William Stafford Noble
Evaluation of a Prototype Orbitrap Astral Zoom Mass Spectrometer for Quantitative Proteomics─Beyond Identification Lists,2025,Journal of Proteome Research,article,7,Chris Hsu; Nicholas Shulman; Hamish Stewart; J. Petzoldt; Anna Pashkova; Deanna L. Plubell; Eduard Denisov; Bernd Hagedorn; Nicolaie Eugen Damoc; Brendan MacLean; Philip M. Remes; Jesse D. Canterbury; Alexander Makarov; Christian Hock; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss
Improved quantitation in data-independent acquisition proteomics via retention time boundary imputation,2025,bioRxiv (Cold Spring Harbor Laboratory),preprint,2,Lincoln Harris; Michael Riffle; Nicholas Shulman; William E. Fondrie; Christine C. Wu; Danielle P. Johnson Erickson; Alec Morimoto; Benjamin A. Shaver; Taylor N. Stein; Ning Cao; Eric C. Ford; William Stafford Noble; Michael J. MacCoss
Hybrid Quadrupole Mass Filter–Radial Ejection Linear Ion Trap and Intelligent Data Acquisition Enable Highly Multiplex Targeted Proteomics,2024,Journal of Proteome Research,article,16,Philip M. Remes; Cristina C. Jacob; Lilian R. Heil; Nicholas Shulman; Brendan MacLean; Michael J. MacCoss
A Workflow for Improved Analysis of Cross-Linking Mass Spectrometry Data Integrating Parallel Accumulation-Serial Fragmentation with MeroX and Skyline,2024,Analytical Chemistry,article,13,Juan Camilo Rojas Echeverri; Frank Hause; Claudio Iacobucci; Christian Ihling; Dirk Tänzler; Nicholas Shulman; Michael Riffle; Brendan MacLean; Andrea Sinz
Evaluating the Performance of the Astral Mass Analyzer for Quantitative Proteomics Using Data-Independent Acquisition,2023,Journal of Proteome Research,article,232,Lilian R. Heil; Eugen Damoc; Tabiwang N. Arrey; Anna Pashkova; Eduard Denisov; J. Petzoldt; Amelia C. Peterson; Chris Hsu; Brian C. Searle; Nicholas Shulman; Michael Riffle; B. Connolly; Brendan MacLean; Philip M. Remes; Michael W. Senko; Hamish Stewart; Christian Hock; Alexander Makarov; Daniel Hermanson; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss
MSstats Version 4.0: Statistical Analyses of Quantitative Mass Spectrometry-Based Proteomic Experiments with Chromatography-Based Quantification at Scale,2023,Journal of Proteome Research,article,135,Devon Kohler; Mateusz Staniak; Tsung‐Heng Tsai; Ting Huang; Nicholas Shulman; Oliver M. Bernhardt; Brendan MacLean; Alexey I. Nesvizhskii; Lukas Reiter; Eduard Sabidó; Meena Choi; Olga Vitek
Targeted proteomics data interpretation with DeepMRM,2023,Cell Reports Methods,article,9,Jungkap Park; Christopher Wilkins; Dmitry M. Avtonomov; Jiwon Hong; Seunghoon Back; Hokeun Kim; Nicholas Shulman; Brendan MacLean; Sang‐Won Lee; Sangtae Kim
"Utilizing Skyline to analyze lipidomics data containing liquid chromatography, ion mobility spectrometry and mass spectrometry dimensions",2022,Nature Protocols,article,63,Kaylie I. Kirkwood‐Donelson; Brian Pratt; Nicholas Shulman; Kaipo Tamura; Michael J. MacCoss; Brendan MacLean; Erin Baker
Cullin-independent recognition of HHARI substrates by a dynamic RBR catalytic domain,2022,Structure,article,16,Katherine H. Reiter; Alex Zelter; Maria K. Janowska; Michael Riffle; Nicholas Shulman; Brendan MacLean; Kaipo Tamura; Matthew Chambers; Michael J. MacCoss; Trisha N. Davis; Miklós Guttman; Peter S. Brzović; Rachel E. Klevit
TurnoveR: A Skyline External Tool for Analysis of Protein Turnover in Metabolic Labeling Studies,2022,Journal of Proteome Research,article,8,Nathan Basisty; Nicholas Shulman; Cameron Wehrfritz; Alexandra N. Marsh; Samah Shah; Jacob Rose; Scott M. Ebert; Matthew J. Miller; Dao‐Fu Dai; Peter S. Rabinovitch; Christopher M. Adams; Michael J. MacCoss; Brendan MacLean; Birgit Schilling
"Utilizing Skyline to analyze lipidomics data containing liquid chromatography, ion mobility spectrometry and mass spectrometry dimensions",2022,Zenodo (CERN European Organization for Nuclear Research),dataset,0,Kaylie I. Kirkwood‐Donelson; Brian Pratt; Nicholas Shulman; Kaipo Tamura; Michael J. MacCoss; Brendan MacLean; Erin Baker
"Utilizing Skyline to analyze lipidomics data containing liquid chromatography, ion mobility spectrometry and mass spectrometry dimensions",2022,Zenodo (CERN European Organization for Nuclear Research),dataset,0,Kaylie I. Kirkwood‐Donelson; Brian Pratt; Nicholas Shulman; Kaipo Tamura; Michael J. MacCoss; Brendan MacLean; Erin Baker
Development and Application of Multidimensional Lipid Libraries to Investigate Lipidomic Dysregulation Related to Smoke Inhalation Injury Severity,2021,Journal of Proteome Research,article,46,Kaylie I. Kirkwood‐Donelson; Michael W. Christopher; Jefferey L. Burgess; Sally R. Littau; Kevin N Foster; Karen Richey; Brian Pratt; Nicholas Shulman; Kaipo Tamura; Michael J. MacCoss; Brendan MacLean; Erin Baker
